Year,Nation,Subregion,Silver
1928,United States,North America,18
1932,United States*,North America,36
1936,Germany*,Western Europe,31
1948,United States,North America,27
1952,Soviet Union,,30
1956,Soviet Union,,29
1960,Soviet Union,,29
1964,Soviet Union,,31
1968,Soviet Union,,32
1972,United States,North America,31
1976,Soviet Union,,41
1980,Soviet Union*,,69
1984,United States*,North America,61
1988,East Germany,,35
1992,Unified Team‡,,38
1996,United States*,North America,32
2000,Russia‡,Eastern Europe,28
2004,United States‡,North America,39
2008,United States‡,North America,39
2012,China‡,Eastern Asia,31
2016,United States,North America,37
2020,United States,North America,41
2024,United States‡,North America,44
